,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
72,RANGE_INTERPOLATED,"1111 Davis Dr, Newmarket, ON L3Y 8K3, Canada",EiwxMTExIERhdmlzIERyLCBOZXdtYXJrZXQsIE9OIEwzWSA4SzMsIENhbmFkYSIbEhkKFAoSCU9jfgyEzSqIEdSoNmRtDy8QENcI,"1111 Davis Drive,Newmarket,ON,Canada,L3Y2M9",44.0660669,-79.43095509999999,1,L3Y 8K3,OK,street_address
73,ROOFTOP,"1111 Elgin St W, Cobourg, ON K9A 4J7, Canada",ChIJS1oOonjG1YkR368L6RrQKgc,"1111 Elgin St W,Cobourg,ON,Canada,K9A5H7",43.97024769999999,-78.1997536,1,K9A 4J7,OK,street_address
74,ROOFTOP,"1116 Boulevard Vachon N, Sainte-Marie, QC G6E 1N7, Canada",ChIJiacDJltWuEwRqYWlAaG3Xi8,"1116 boul. Vachon Nord,Sainte-Marie-de-Beauce,QC,Canada,G6E1N7",46.4565311,-71.0362538,1,G6E 1N7,OK,premise
75,ROOFTOP,"1120 Grant Ave, Winnipeg, MB R3M 2A6, Canada",ChIJdZvLSEB06lIRD2Gmdx7G-jg,"1120 Grant Ave,Winnipeg,MB,Canada,R3M2A6",49.8566222,-97.1673507,1,R3M 2A6,OK,premise
76,ROOFTOP,"1127 Sumas Way, Abbotsford, BC V2S 8H2, Canada",ChIJW2480OdKhFQRNcEN7dkxypg,"1127 Sumas Way,Abbotsford,BC,Canada,V2S8H2",49.0221477,-122.2669654,1,V2S 8H2,OK,premise
77,APPROXIMATE,"Fredericton, NB E3B 3C1, Canada",ChIJsTbCZ0AipEwRGKDMp-NRPA8,"113 Montee Masson,Fredericton,NB,Canada,E3B3C1",45.9397546,-66.6653199,1,E3B 3C1,OK,postal_code
78,ROOFTOP,"115 Marquis Dr, Saskatoon, SK S7R 1C7, Canada",ChIJzXSG9Bf2BFMRI-LsPpACXAA,"115 Marquis Dr,Saskatoon,SK,Canada,S7R1C7",52.1939978,-106.6760925,1,S7R 1C7,OK,premise
79,ROOFTOP,"1150 Douglas St, Victoria, BC V8W 2C8, Canada",ChIJUY78lJp0j1QRfPP1whkXJmk,"1150 Douglas St,Victoria,BC,Canada,V8W3M9",48.4250195,-123.3656632,1,V8W 2C8,OK,street_address
80,ROOFTOP,"1150 Lakeside Dr, Nelson, BC V1L 6G3, Canada",ChIJySHPDLK2fFMR58Q8avdxNh0,"1150 Lakeside Dr,Nelson,BC,Canada,V1L5Z3",49.4991466,-117.2883842,1,V1L 6G3,OK,street_address
81,ROOFTOP,"1151 10 Ave SW, Salmon Arm, BC V1E 1T2, Canada",ChIJo5mKKAv1flMRfkTtZIqHXc8,"1151 10th Ave SW,Salmon Arm,BC,Canada,V1E1T3",50.6943785,-119.2988747,1,V1E 1T2,OK,premise
82,ROOFTOP,"1151 Dundas St W, Mississauga, ON L5C 1C6, Canada",ChIJwfsuga5GK4gRkAPJ2_1BnTY,"1151 Dundas St W,Mississauga,ON,Canada,L5C1C6",43.5575649,-79.64576339999999,1,L5C 1C6,OK,street_address
83,ROOFTOP,"1154 Chemong Rd, Peterborough, ON K9H 7N1, Canada",ChIJz0xjg3-L1YkRqinCltjXO1o,"1154 Chemong Rd,Peterborough,ON,Canada,K9H7J6",44.3293071,-78.3392442,1,K9H 7N1,OK,street_address
84,ROOFTOP,"11588 Sarcee Trail NW, Calgary, AB T3R 0A1, Canada",ChIJHyEsuoBocVMRwNAKPcuxkw8,"11588 Sarcee Trail Nw,Calgary,AB,Canada,T3R0A1",51.15516359999999,-114.1559604,1,T3R 0A1,OK,street_address
85,ROOFTOP,"1160 Rue de la Concorde, Lévis, QC G6W 0M7, Canada",ChIJGTpXNtGTuEwRZSh1fTHvn_Q,"1160 Rue De La Concorde,Levis,QC,Canada,G6W0M4",46.7313461,-71.2603424,1,G6W 0M7,OK,street_address
86,ROOFTOP,"1161 Rte 776, Grand Manan, NB E5G 4E9, Canada",ChIJo4W8BnLzqEwRF4G_ZbS4PGM,"1161 Route 776,Grand Manan,NB,Canada,E5G4E9",44.6858898,-66.76694549999999,1,E5G 4E9,OK,premise
87,,,,"11666 Steveston Highway, #7000,RICHMOND,BC,Canada,V7A5J3",,,0,,REQUEST_DENIED,
88,ROOFTOP,"11801 100 St #116, Grande Prairie, AB T8V 3Y2, Canada",EjUxMTYsIDExODAxIDEwMCBTdCwgR3JhbmRlIFByYWlyaWUsIEFCIFQ4ViAzWTIsIENhbmFkYSIfGh0KFgoUChIJBb5wmamWkFMRrvAQ70oWOFYSAzExNg,"11801 100 ST UNIT 116,Grande Prairie,AB,Canada,T8V3Y2",55.18794270000001,-118.7920152,1,T8V 3Y2,OK,subpremise
89,ROOFTOP,"11810 Sarcee Trail NW, Calgary, AB T3R 0A1, Canada",ChIJJX59vX9ocVMRQjEfoIeASes,"11810 SARCEE TRAIL NW,Calgary,AB,Canada,T3R0A1",51.15780729999999,-114.1574738,1,T3R 0A1,OK,subpremise
